ticker,start,end,index_name
HLNE,2024-09-23,2024-12-31,SP400
HLS,2016-11-03,2018-01-02,SP400
HNI,2014-09-30,2021-02-16,SP400
HOG,2020-06-22,2024-12-31,SP400
HOMB,2017-06-02,2024-12-31,SP400
HPP,2020-05-27,2022-09-19,SP400
HQY,2018-09-17,2024-12-31,SP400
HR,2016-03-07,2022-07-21,SP400
HRB,2020-09-21,2024-12-31,SP400
HRC,2014-09-30,2021-12-20,SP400
HSNI,2014-09-30,2018-01-02,SP400
HTA,2022-07-21,2024-12-31,SP400
HTZ,2023-03-20,2024-06-24,SP400
HUBB,2014-09-30,2023-10-18,SP400
HWC,2014-09-30,2024-12-31,SP400
HXL,2020-06-22,2024-12-31,SP400
IAA,2020-08-03,2023-03-22,SP400
IART,2018-06-05,2024-06-24,SP400
IBKR,2018-01-02,2024-12-31,SP400
IBOC,2014-09-30,2024-12-31,SP400
ICUI,2018-03-19,2023-11-30,SP400
IDA,2014-09-30,2024-12-31,SP400
IDCC,2014-09-30,2021-04-12,SP400
IDTI,2014-09-30,2019-04-01,SP400
IDXX,2014-09-30,2017-01-04,SP400
IIVI,2019-09-26,2024-12-31,SP400
ILG,2017-09-18,2018-09-04,SP400
ILMN,2024-06-24,2024-12-31,SP400
INCR,2017-04-05,2024-12-31,SP400
INGN,2014-09-30,2019-09-18,SP400
INGR,2014-09-30,2024-12-31,SP400
INT,2014-09-30,2021-08-04,SP400
IPGP,2014-09-30,2018-03-07,SP400
IPGP,2022-06-21,2024-12-31,SP400
IRDM,2021-02-12,2024-12-31,SP400
IRT,2022-05-19,2024-12-31,SP400
ISCA,2014-09-30,2019-10-18,SP400
ISIL,2014-09-30,2017-02-28,SP400
IT,2014-09-30,2017-04-05,SP400
ITT,2014-09-30,2024-12-31,SP400
JACK,2014-09-30,2022-02-03,SP400
JAH,2014-09-30,2016-04-18,SP400
JAZZ,2020-09-21,2024-12-31,SP400
JBGS,2017-07-19,2023-03-20,SP400
JBL,2014-09-30,2023-12-18,SP400
JBLU,2014-09-30,2023-09-18,SP400
JCOM,2015-12-14,2024-12-31,SP400
JCP,2014-09-30,2017-06-02,SP400
JEF,2019-09-26,2024-12-31,SP400
JHG,2014-09-30,2024-12-31,SP400
JLL,2014-09-30,2024-12-31,SP400
JOY,2014-09-30,2017-04-06,SP400
JWN,2020-06-22,2025-05-22,SP400
KAR,2019-09-23,2021-12-02,SP400
KATE,2014-09-30,2017-07-12,SP400
KBH,2014-09-30,2024-12-31,SP400
KBR,2014-09-30,2024-12-31,SP400
KD,2021-11-05,2024-12-31,SP400
KEX,2014-09-30,2024-12-31,SP400
KLXI,2014-09-30,2018-09-18,SP400
KMPR,2014-09-30,2024-12-31,SP400
KMT,2014-09-30,2023-03-20,SP400
KN,2014-09-30,2018-05-02,SP400
KNF,2023-06-01,2024-12-31,SP400
KNSL,2020-12-29,2024-12-31,SP400
KNX,2017-07-12,2024-12-31,SP400
KRC,2014-09-30,2024-12-31,SP400
KRG,2021-10-22,2024-12-31,SP400
KSS,2020-09-21,2023-10-03,SP400
LAD,2020-09-01,2024-12-31,SP400
LAMR,2014-09-30,2024-12-31,SP400
LANC,2014-09-30,2024-12-31,SP400
LEA,2019-12-13,2024-12-31,SP400
LECO,2014-09-30,2024-12-31,SP400
LEG,2021-12-20,2024-06-24,SP400
LFUS,2016-11-28,2024-12-31,SP400
LGND,2014-09-30,2021-09-07,SP400
